UF,Município,ICM_Classification
RS,Piratini,B
RS,Taquara,B
RS,Travesseiro,B
GO,Jataí,B
PA,Xinguara,B
TO,Talismã,B
PB,Maturéia,B
PE,João Alfredo,B
BA,Itaparica,B
BA,Madre de Deus,B
MG,Uberaba,B
RJ,Cabo Frio,B
SP,Paraguaçu Paulista,B
SP,Santa Branca,B
PR,Arapongas,B
PR,Goioerê,B
PR,Pontal do Paraná,B
SC,Lebon Régis,B
RS,São Domingos do Sul,B
MT,Primavera do Leste,B
MA,Centro Novo do Maranhão,B
RN,Pedro Velho,B
PE,Angelim,B
BA,Dias dÁvila,B
MG,Ituiutaba,B
MG,Mário Campos,B
MG,Nazareno,B
ES,Águia Branca,B
ES,Ponto Belo,B
SP,Américo Brasiliense,B
SP,Corumbataí,B
SP,Monte Azul Paulista,B
PR,Centenário do Sul,B
PR,Planaltina do Paraná,B
PR,Planalto,B
PR,Ramilândia,B
PR,Rosário do Ivaí,B
PR,Santa Amélia,B
PR,Santa Cecília do Pavão,B
PR,Ventania,B
PR,Vera Cruz do Oeste,B
SC,Celso Ramos,B
SC,Paial,B
SC,São Bernardino,B
RS,Água Santa,B
RS,Cotiporã,B
RS,Frederico Westphalen,B
RS,Marau,B
MS,Paranhos,B
MT,Lucas do Rio Verde,B
MT,Rondonópolis,B
TO,Palmeiras do Tocantins,B
PI,Inhuma,B
PI,Lagoa do Barro do Piauí,B
PI,Pimenteiras,B
CE,Icapuí,B
CE,Várzea Alegre,B
RN,Bodó,B
RN,Galinhos,B
RN,Paraú,B
RN,São Miguel,B
RN,São Miguel do Gostoso,B
PB,Areial,B
PB,Serra Redonda,B
PE,Carnaíba,B
PE,Orobó,B
PE,Toritama,B
PE,Triunfo,B
AL,Senador Rui Palmeira,B
BA,Itaeté,B
BA,Monte Santo,B
MG,Bom Despacho,B
MG,Campos Gerais,B
MG,Catas Altas,B
MG,Caxambu,B
MG,Confins,B
MG,Diamantina,B
MG,Felixlândia,B
MG,Fervedouro,B
MG,Goianá,B
MG,Leandro Ferreira,B
MG,Mirabela,B
MG,Paula Cândido,B
MG,Santa Maria do Suaçuí,B
MG,Santa Rita do Itueto,B
MG,Santo Antônio do Jacinto,B
MG,Simão Pereira,B
MG,Tarumirim,B
MG,Tiradentes,B
RJ,Armação dos Búzios,B
SP,Altinópolis,B
SP,Araçoiaba da Serra,B
SP,Cristais Paulista,B
SP,Ituverava,B
SP,Jaborandi,B
SP,Lucianópolis,B
SP,Maracaí,B
SP,Pontal,B
SP,Redenção da Serra,B
SP,Riversul,B
PR,Antônio Olinto,B
PR,Campo Bonito,B
PR,Capanema,B
PR,Carambeí,B
PR,Floresta,B
PR,Guaíra,B
PR,Inácio Martins,B
PR,Itaúna do Sul,B
PR,Marmeleiro,B
PR,Paranapoema,B
PR,Tamarana,B
PR,Tapejara,B
PR,Doutor Ulysses,B
PR,Virmond,B
PR,Vitorino,B
PR,Xambrê,B
SC,Cerro Negro,B
SC,Formosa do Sul,B
SC,Lajeado Grande,B
SC,Modelo,B
SC,Mondaí,B
SC,Santiago do Sul,B
RS,Boa Vista do Buricá,B
RS,Bom Progresso,B
RS,Candiota,B
RS,Cerrito,B
RS,Chuvisca,B
RS,David Canabarro,B
RS,Derrubadas,B
RS,Dois Irmãos,B
RS,Doutor Ricardo,B
RS,Hulha Negra,B
RS,Lagoa Vermelha,B
RS,Miraguaí,B
RS,Mostardas,B
RS,Não-Me-Toque,B
RS,Nova Bassano,B
RS,Nova Bréscia,B
RS,Palmitinho,B
RS,Picada Café,B
RS,Rodeio Bonito,B
RS,Rolador,B
RS,Santiago,B
RS,Santo Antônio do Palma,B
RS,São José das Missões,B
RS,São Vicente do Sul,B
RS,Tapejara,B
RS,Tupanciretã,B
RS,Vespasiano Corrêa,B
MS,Glória de Dourados,B
MT,Nossa Senhora do Livramento,B
GO,Mineiros,B
GO,Santa Helena de Goiás,B
RO,Nova Brasilândia DOeste,B
RR,Caroebe,B
PA,Aurora do Pará,B
PA,Bannach,B
PA,Canaã dos Carajás,B
PA,Capanema,B
PA,Curuçá,B
TO,Peixe,B
MA,Governador Nunes Freire,B
PI,Demerval Lobão,B
PI,Francisco Macedo,B
CE,Aracoiaba,B
CE,Beberibe,B
CE,Forquilha,B
CE,Ibicuitinga,B
CE,São Gonçalo do Amarante,B
CE,Tauá,B
RN,Currais Novos,B
RN,Extremoz,B
RN,Passagem,B
PB,Areia,B
PB,Baraúna,B
PB,Catolé do Rocha,B
PB,Itaporanga,B
PB,Massaranduba,B
PB,Monteiro,B
PB,Joca Claudino,B
PE,Chã de Alegria,B
PE,Feira Nova,B
PE,São José do Egito,B
PE,Vertentes,B
AL,Carneiros,B
AL,Igreja Nova,B
AL,Jacaré dos Homens,B
AL,Junqueiro,B
AL,Messias,B
SE,Frei Paulo,B
BA,Ibipeba,B
BA,Lençóis,B
BA,Morro do Chapéu,B
BA,Mucugê,B
BA,Queimadas,B
BA,Retirolândia,B
BA,Sítio do Mato,B
BA,Terra Nova,B
MG,Antônio Prado de Minas,B
MG,Arcos,B
MG,Barão de Monte Alto,B
MG,Berizal,B
MG,Brás Pires,B
MG,Catuji,B
MG,Delfim Moreira,B
MG,Divinésia,B
MG,Itamogi,B
MG,Itanhandu,B
MG,Itaobim,B
MG,Jacutinga,B
MG,José Gonçalves de Minas,B
MG,Lamim,B
MG,Leme do Prado,B
MG,Maripá de Minas,B
MG,Marliéria,B
MG,Monte Belo,B
MG,Monte Carmelo,B
MG,Novo Oriente de Minas,B
MG,Pai Pedro,B
MG,Palma,B
MG,Pedra Azul,B
MG,Poté,B
MG,Prados,B
MG,Queluzito,B
MG,Santana de Pirapama,B
MG,Santa Vitória,B
MG,São Brás do Suaçuí,B
MG,São Sebastião do Anta,B
MG,Senador José Bento,B
MG,Taiobeiras,B
MG,Verdelândia,B
ES,Alto Rio Novo,B
ES,Mucurici,B
RJ,Rio das Flores,B
SP,Águas de São Pedro,B
SP,Álvaro de Carvalho,B
SP,Bariri,B
SP,Barra Bonita,B
SP,Bofete,B
SP,Boituva,B
SP,Buritama,B
SP,Colômbia,B
SP,Cravinhos,B
SP,Engenheiro Coelho,B
SP,General Salgado,B
SP,Getulina,B
SP,Igarapava,B
SP,Iracemápolis,B
SP,Mariápolis,B
SP,Mococa,B
SP,Nova Luzitânia,B
SP,Novo Horizonte,B
SP,Patrocínio Paulista,B
SP,Pereira Barreto,B
SP,Pirajuí,B
SP,Pompéia,B
SP,Quadra,B
SP,Santa Clara dOeste,B
SP,Tanabi,B
SP,Tietê,B
PR,Adrianópolis,B
PR,Alto Paraná,B
PR,Candói,B
PR,Cruzmaltina,B
PR,Floraí,B
PR,Honório Serpa,B
PR,Indianópolis,B
PR,Ivatuba,B
PR,Mandaguaçu,B
PR,Marilândia do Sul,B
PR,Mariópolis,B
PR,Mauá da Serra,B
PR,Nova Londrina,B
PR,Nova Olímpia,B
PR,Palotina,B
PR,Pinhalão,B
PR,Porecatu,B
PR,Salgado Filho,B
PR,Santa Helena,B
PR,Santa Inês,B
PR,Santa Mariana,B
PR,Santa Terezinha de Itaipu,B
PR,Santo Antônio do Paraíso,B
PR,São João do Ivaí,B
PR,São Jorge do Ivaí,B
PR,Sertaneja,B
SC,Campo Belo do Sul,B
SC,Jardinópolis,B
SC,São João do Oeste,B
SC,São João do Itaperiú,B
SC,São José do Cedro,B
SC,União do Oeste,B
RS,Bozano,B
RS,Butiá,B
RS,Cândido Godói,B
RS,Caseiros,B
RS,Cerro Branco,B
RS,Ciríaco,B
RS,Condor,B
RS,Coxilha,B
RS,Crissiumal,B
RS,Dois Irmãos das Missões,B
RS,Herval,B
RS,Erval Grande,B
RS,Flores da Cunha,B
RS,General Câmara,B
RS,Gentil,B
RS,Independência,B
RS,Inhacorá,B
RS,Nicolau Vergueiro,B
RS,Palmeira das Missões,B
RS,Panambi,B
RS,Pedras Altas,B
RS,Pinhal,B
RS,Pinheiro Machado,B
RS,Ponte Preta,B
RS,São José do Sul,B
RS,Tapes,B
RS,Trindade do Sul,B
RS,Vale Verde,B
RS,Vila Flores,B
RS,Vila Lângaro,B
RS,Vila Maria,B
MS,Anaurilândia,B
MS,Antônio João,B
MS,Aral Moreira,B
MS,Ladário,B
MS,Selvíria,B
MT,Jaciara,B
GO,Aparecida do Rio Doce,B
GO,Cidade Ocidental,B
GO,Minaçu,B
GO,São Miguel do Araguaia,B
AM,Barcelos,B
RR,Rorainópolis,B
TO,Angico,B
TO,Natividade,B
TO,São Sebastião do Tocantins,B
MA,Igarapé Grande,B
PI,Água Branca,B
PI,Baixa Grande do Ribeiro,B
PI,Coronel José Dias,B
PI,Currais,B
PI,Pedro II,B
PI,Ribeiro Gonçalves,B
PI,Santa Rosa do Piauí,B
PI,São Félix do Piauí,B
CE,Barroquinha,B
CE,Cascavel,B
RN,Alexandria,B
RN,Areia Branca,B
RN,Baía Formosa,B
RN,Encanto,B
RN,Itajá,B
RN,Santana do Matos,B
RN,São Fernando,B
RN,Serrinha,B
RN,Upanema,B
PB,Água Branca,B
PB,Cabaceiras,B
PB,Cachoeira dos Índios,B
PB,Juru,B
PB,Lagoa Seca,B
PB,Lastro,B
PB,Mamanguape,B
PB,Pedra Branca,B
PB,Picuí,B
PB,Solânea,B
PE,Alagoinha,B
PE,Camocim de São Félix,B
PE,Iguaracy,B
PE,Ingazeira,B
PE,Itapissuma,B
PE,Taquaritinga do Norte,B
AL,Dois Riachos,B
AL,Olho dÁgua das Flores,B
AL,Porto de Pedras,B
AL,São José da Tapera,B
SE,Amparo de São Francisco,B
SE,Arauá,B
SE,Gararu,B
SE,Malhador,B
SE,Pedrinhas,B
BA,Brumado,B
BA,Buritirama,B
BA,Caetité,B
BA,Casa Nova,B
BA,Elísio Medrado,B
BA,Euclides da Cunha,B
BA,Iguaí,B
BA,Maetinga,B
BA,Miguel Calmon,B
BA,Pindobaçu,B
BA,Piripá,B
BA,Pojuca,B
BA,Riacho de Santana,B
BA,Santana,B
BA,São Miguel das Matas,B
BA,Uauá,B
BA,Vera Cruz,B
MG,Araporã,B
MG,Arceburgo,B
MG,Argirita,B
MG,Barroso,B
MG,Bicas,B
MG,Bom Jesus do Amparo,B
MG,Bueno Brandão,B
MG,Cabo Verde,B
MG,Cambuí,B
MG,Carmésia,B
MG,Conceição do Pará,B
MG,Coronel Pacheco,B
MG,Couto de Magalhães de Minas,B
MG,Divisa Nova,B
MG,Espírito Santo do Dourado,B
MG,Estrela do Sul,B
MG,Faria Lemos,B
MG,Fortaleza de Minas,B
MG,Gonzaga,B
MG,Guarará,B
MG,Ibiaí,B
MG,Ibiracatu,B
MG,Indianópolis,B
MG,Inimutaba,B
MG,Ipaba,B
MG,Ipuiúna,B
MG,Jenipapo de Minas,B
MG,Juvenília,B
MG,Liberdade,B
MG,Mar de Espanha,B
MG,Monsenhor Paulo,B
MG,Pains,B
MG,Paiva,B
MG,Pimenta,B
MG,Pratápolis,B
MG,Rio Manso,B
MG,Rio Vermelho,B
MG,Rubim,B
MG,Santa Juliana,B
MG,Santana do Riacho,B
MG,Santa Rita de Minas,B
MG,São Gonçalo do Abaeté,B
MG,São Sebastião do Rio Preto,B
MG,Ubaí,B
MG,Urucuia,B
MG,Mathias Lobato,B
SP,Altair,B
SP,Alvinlândia,B
SP,Anhembi,B
SP,Barrinha,B
SP,Bastos,B
SP,Bernardino de Campos,B
SP,Borebi,B
SP,Brotas,B
SP,Cajuru,B
SP,Cássia dos Coqueiros,B
SP,Colina,B
SP,Coroados,B
SP,Guará,B
SP,Guarantã,B
SP,Iacanga,B
SP,Ibirarema,B
SP,Ipeúna,B
SP,Lagoinha,B
SP,Lavrinhas,B
SP,Miguelópolis,B
SP,Mirandópolis,B
SP,Mirassol,B
SP,Mombuca,B
SP,Monte Alto,B
SP,Narandiba,B
SP,Nipoã,B
SP,Novais,B
SP,Pedregulho,B
SP,Piraju,B
SP,Pitangueiras,B
SP,Porangaba,B
SP,Promissão,B
SP,Regente Feijó,B
SP,Restinga,B
SP,Rio das Pedras,B
SP,Rubiácea,B
SP,Rubinéia,B
SP,Sagres,B
SP,Sales Oliveira,B
SP,Santa Fé do Sul,B
SP,Santa Gertrudes,B
SP,Santa Maria da Serra,B
SP,Santa Rita dOeste,B
SP,Santo Antônio da Alegria,B
SP,Santo Antônio do Pinhal,B
SP,São José do Barreiro,B
SP,São Pedro do Turvo,B
SP,Serrana,B
SP,Severínia,B
SP,Tabatinga,B
SP,Taquarivaí,B
SP,Tuiuti,B
SP,Ubarana,B
SP,Viradouro,B
PR,Assis Chateaubriand,B
PR,Barbosa Ferraz,B
PR,Bom Sucesso,B
PR,Campo Mourão,B
PR,Congonhinhas,B
PR,Diamante DOeste,B
PR,Douradina,B
PR,Doutor Camargo,B
PR,Formosa do Oeste,B
PR,Foz do Jordão,B
PR,Godoy Moreira,B
PR,Guapirama,B
PR,Ipiranga,B
PR,Iracema do Oeste,B
PR,Itaipulândia,B
PR,Janiópolis,B
PR,Kaloré,B
PR,Lindoeste,B
PR,Loanda,B
PR,Lobato,B
PR,Mangueirinha,B
PR,Manoel Ribas,B
PR,Mercedes,B
PR,Mirador,B
PR,Munhoz de Melo,B
PR,Nova Aliança do Ivaí,B
PR,Nova Esperança do Sudoeste,B
PR,Nova Santa Rosa,B
PR,Novo Itacolomi,B
PR,Ourizona,B
PR,Peabiru,B
PR,Pitangueiras,B
PR,Porto Barreiro,B
PR,Prado Ferreira,B
PR,Primeiro de Maio,B
PR,Quarto Centenário,B
PR,Quinta do Sol,B
PR,Rondon,B
PR,Sabáudia,B
PR,Santa Fé,B
PR,Santo Antônio do Caiuá,B
PR,São João,B
PR,São João do Caiuá,B
PR,São Tomé,B
PR,Sarandi,B
SC,Bom Jesus do Oeste,B
SC,Entre Rios,B
SC,Ipuaçu,B
SC,Jaborá,B
SC,Princesa,B
SC,Treze Tílias,B
SC,Zortéa,B
RS,Alecrim,B
RS,Almirante Tamandaré do Sul,B
RS,Araricá,B
RS,Barão de Cotegipe,B
RS,Boa Vista do Sul,B
RS,Braga,B
RS,Campestre da Serra,B
RS,Campos Borges,B
RS,Capão Bonito do Sul,B
RS,Cidreira,B
RS,Coqueiro Baixo,B
RS,Dois Lajeados,B
RS,Doutor Maurício Cardoso,B
RS,Fagundes Varela,B
RS,Floriano Peixoto,B
RS,Garibaldi,B
RS,Guarani das Missões,B
RS,Ipiranga do Sul,B
RS,Itacurubi,B
RS,Jacuizinho,B
RS,Lavras do Sul,B
RS,Machadinho,B
RS,Mampituba,B
RS,Mato Leitão,B
RS,Maximiliano de Almeida,B
RS,Montauri,B
RS,Muitos Capões,B
RS,Nova Boa Vista,B
RS,Paulo Bento,B
RS,Quinze de Novembro,B
RS,Rio dos Índios,B
RS,Rondinha,B
RS,Salto do Jacuí,B
RS,São João do Polêsine,B
RS,São José do Hortêncio,B
RS,São José do Inhacorá,B
RS,São Martinho da Serra,B
RS,São Nicolau,B
RS,São Pedro do Butiá,B
RS,Senador Salgado Filho,B
RS,Silveira Martins,B
RS,Tenente Portela,B
RS,Vale do Sol,B
RS,Viadutos,B
RS,Westfália,B
MS,Angélica,B
MS,Caarapó,B
MS,Jardim,B
MS,Novo Horizonte do Sul,B
MS,Ribas do Rio Pardo,B
MS,Tacuru,B
MS,Vicentina,B
MT,Alto Paraguai,B
MT,Campo Verde,B
MT,Cláudia,B
MT,Colíder,B
MT,Itanhangá,B
MT,Juscimeira,B
MT,Novo Mundo,B
GO,Abadia de Goiás,B
GO,Bela Vista de Goiás,B
GO,Ipameri,B
GO,Nerópolis,B
GO,Palmeiras de Goiás,B
GO,Pirenópolis,B
GO,Santa Rita do Araguaia,B
GO,Santa Rita do Novo Destino,B
RO,Alta Floresta DOeste,B
RO,Espigão DOeste,B
RO,Alto Paraíso,B
RO,Governador Jorge Teixeira,B
RO,Vale do Paraíso,B
RR,Bonfim,B
RR,Cantá,B
PA,Floresta do Araguaia,B
PA,Ourilândia do Norte,B
PA,Quatipuru,B
TO,Buriti do Tocantins,B
TO,Palmeirópolis,B
TO,Santa Terezinha do Tocantins,B
MA,Alcântara,B
MA,Bom Jesus das Selvas,B
MA,Matinha,B
MA,Senador La Rocque,B
PI,Alegrete do Piauí,B
PI,Nazária,B
PI,Paes Landim,B
PI,Regeneração,B
PI,Santo Antônio de Lisboa,B
CE,Barbalha,B
CE,Independência,B
CE,Ipueiras,B
CE,Jardim,B
CE,Umari,B
RN,Pau dos Ferros,B
RN,Serra Caiada,B
PB,Cajazeiras,B
PB,Cuitegi,B
PB,Esperança,B
PB,Paulista,B
PB,Poço de José de Moura,B
PB,São Bentinho,B
PB,São José de Piranhas,B
PE,Araçoiaba,B
PE,Frei Miguelinho,B
PE,Glória do Goitá,B
PE,Itambé,B
PE,Jataúba,B
PE,Salgueiro,B
AL,Girau do Ponciano,B
AL,Inhapi,B
AL,Lagoa da Canoa,B
AL,Mar Vermelho,B
AL,Ouro Branco,B
AL,Piaçabuçu,B
SE,Divina Pastora,B
SE,Santa Luzia do Itanhy,B
BA,Andorinha,B
BA,Buerarema,B
BA,Caculé,B
BA,Conceição do Coité,B
BA,Manoel Vitorino,B
BA,Maracás,B
BA,Milagres,B
BA,Muritiba,B
BA,Palmas de Monte Alto,B
BA,Pindaí,B
BA,Rio do Antônio,B
BA,São Gonçalo dos Campos,B
MG,Alvarenga,B
MG,Antônio Carlos,B
MG,Araçaí,B
MG,Araponga,B
MG,Baldim,B
MG,Bambuí,B
MG,Bias Fortes,B
MG,Bom Jardim de Minas,B
MG,Bonfinópolis de Minas,B
MG,Brazópolis,B
MG,Buritis,B
MG,Coluna,B
MG,Conceição do Rio Verde,B
MG,Datas,B
MG,Divisópolis,B
MG,São Gonçalo do Rio Preto,B
MG,Formoso,B
MG,Francisco Dumont,B
MG,Guimarânia,B
MG,Inhaúma,B
MG,Itapeva,B
MG,Jequitinhonha,B
MG,Joaquim Felício,B
MG,José Raydan,B
MG,Lagoa da Prata,B
MG,Luminárias,B
MG,Marmelópolis,B
MG,Minas Novas,B
MG,Nacip Raydan,B
MG,Olímpio Noronha,B
MG,Paraguaçu,B
MG,Paulistas,B
MG,Presidente Kubitschek,B
MG,Santa Helena de Minas,B
MG,Santa Maria do Salto,B
MG,Santo Antônio do Monte,B
MG,São João do Manhuaçu,B
MG,Tiros,B
MG,Tocos do Moji,B
MG,Três Pontas,B
MG,Umburatiba,B
SP,Caconde,B
SP,Caiabu,B
SP,Campina do Monte Alegre,B
SP,Dirce Reis,B
SP,Embaúba,B
SP,Gastão Vidigal,B
SP,Guaíra,B
SP,Guaraci,B
SP,Guararapes,B
SP,Guareí,B
SP,Indiaporã,B
SP,Itirapina,B
SP,Junqueirópolis,B
SP,Lourdes,B
SP,Lucélia,B
SP,Magda,B
SP,Mendonça,B
SP,Murutinga do Sul,B
SP,Nazaré Paulista,B
SP,Nova Campina,B
SP,Nova Europa,B
SP,Pardinho,B
SP,Piratininga,B
SP,Presidente Alves,B
SP,Santa Ernestina,B
SP,Santo Anastácio,B
SP,São Sebastião da Grama,B
SP,Sarutaiá,B
SP,Sebastianópolis do Sul,B
SP,Sud Mennucci,B
SP,Taquarituba,B
SP,Tejupá,B
SP,Trabiju,B
SP,Uru,B
SP,Valparaíso,B
PR,Barra do Jacaré,B
PR,Boa Ventura de São Roque,B
PR,Bom Sucesso do Sul,B
PR,Brasilândia do Sul,B
PR,Campina do Simão,B
PR,Castro,B
PR,Diamante do Norte,B
PR,Diamante do Sul,B
PR,Guairaçá,B
PR,Ibaiti,B
PR,Imbaú,B
PR,Inajá,B
PR,Iporã,B
PR,Itambaracá,B
PR,Japira,B
PR,Jundiaí do Sul,B
PR,Jussara,B
PR,Mandaguari,B
PR,Marialva,B
PR,Marumbi,B
PR,Missal,B
PR,Perobal,B
PR,Ribeirão do Pinhal,B
PR,Salto do Lontra,B
PR,Santa Mônica,B
PR,São Jerônimo da Serra,B
PR,São José das Palmeiras,B
PR,São Pedro do Iguaçu,B
PR,Serranópolis do Iguaçu,B
PR,Tapira,B
PR,Teixeira Soares,B
SC,Águas Frias,B
SC,Cordilheira Alta,B
SC,Passos Maia,B
SC,Paulo Lopes,B
SC,Santa Helena,B
SC,Tigrinhos,B
SC,Treze de Maio,B
RS,Ametista do Sul,B
RS,Boa Vista das Missões,B
RS,Caiçara,B
RS,Catuípe,B
RS,Coronel Pilar,B
RS,Dom Feliciano,B
RS,Dona Francisca,B
RS,Engenho Velho,B
RS,Estação,B
RS,Fortaleza dos Valos,B
RS,Giruá,B
RS,Gramado Xavier,B
RS,Humaitá,B
RS,Ilópolis,B
RS,Jaquirana,B
RS,Nova Alvorada,B
RS,Nova Candelária,B
RS,Nova Esperança do Sul,B
RS,Roque Gonzales,B
RS,Saldanha Marinho,B
RS,Santo Antônio das Missões,B
RS,São João da Urtiga,B
RS,São Jorge,B
RS,São Marcos,B
RS,São Valério do Sul,B
RS,Sarandi,B
RS,Tio Hugo,B
RS,Três de Maio,B
RS,Três Palmeiras,B
RS,Tunas,B
RS,Vista Alegre do Prata,B
MS,Aparecida do Taboado,B
MS,Douradina,B
MT,Ipiranga do Norte,B
MT,Vila Bela da Santíssima Trindade,B
MT,Novo São Joaquim,B
MT,Pontal do Araguaia,B
MT,Santa Carmem,B
MT,Rondolândia,B
GO,Alto Paraíso de Goiás,B
GO,Aragoiânia,B
GO,Cabeceiras,B
GO,Carmo do Rio Verde,B
GO,Leopoldo de Bulhões,B
GO,Piranhas,B
GO,Rubiataba,B
RO,Alto Alegre dos Parecis,B
RO,São Francisco do Guaporé,B
PA,Curionópolis,B
PA,Curralinho,B
PA,Piçarra,B
TO,Arraias,B
TO,Gurupi,B
TO,Recursolândia,B
TO,Santa Tereza do Tocantins,B
MA,João Lisboa,B
MA,Morros,B
MA,Pastos Bons,B
MA,Primeira Cruz,B
MA,Santa Luzia do Paruá,B
MA,Vitorino Freire,B
PI,Beneditinos,B
PI,Betânia do Piauí,B
PI,Colônia do Piauí,B
PI,Dom Expedito Lopes,B
PI,Geminiano,B
CE,Frecheirinha,B
CE,Groaíras,B
CE,Jaguaretama,B
CE,Orós,B
CE,Paraipaba,B
PB,Bananeiras,B
PB,Passagem,B
PB,Puxinanã,B
PB,Salgadinho,B
PB,Zabelê,B
PE,Calçado,B
PE,Jucati,B
BA,Biritinga,B
BA,Correntina,B
BA,Mansidão,B
BA,Santo Estêvão,B
BA,Valente,B
MG,Centralina,B
MG,Conquista,B
MG,Corinto,B
MG,Cruzília,B
MG,Espinosa,B
MG,Fronteira,B
MG,Gonçalves,B
MG,Itaú de Minas,B
MG,Lagoa Formosa,B
MG,Natércia,B
MG,Nova Módica,B
MG,Nova Porteirinha,B
MG,Pedra do Anta,B
MG,Piedade de Ponte Nova,B
MG,Santo Antônio do Rio Abaixo,B
MG,São João do Pacuí,B
SP,Barbosa,B
SP,Brejo Alegre,B
SP,Descalvado,B
SP,Gália,B
SP,Monte Castelo,B
SP,Ocauçu,B
SP,Pedrinhas Paulista,B
SP,Poloni,B
SP,Pongaí,B
SP,Pontalinda,B
SP,Ribeirão Bonito,B
SP,Terra Roxa,B
SP,Turmalina,B
PR,Altônia,B
PR,Ariranha do Ivaí,B
PR,Cambira,B
PR,Esperança Nova,B
PR,Florestópolis,B
PR,Ibema,B
PR,Japurá,B
PR,Nova Fátima,B
PR,São João do Triunfo,B
